date,total_pop,total_load,weighted_avg
2022-01-02,8604699,1133334,0.131711056946908
2022-01-04,8604699,978381,0.113703105710031
2022-01-10,8604699,514966,0.0598470672826557
2022-01-12,8604699,470451,0.0546737311787432
2022-01-17,8604699,125383,0.0145714568284143
2022-01-19,8604699,201766,0.0234483507209259
2022-01-24,8604699,131103,0.0152362098895034
2022-01-26,8604699,93483,0.0108641801415715
2022-01-31,8604699,63890,0.00742501277499655
2022-02-02,8604699,52637,0.00611723896443095
2022-02-06,8604699,33202,0.0038585893591397
2022-02-08,8604699,49055,0.00570095479225944
2022-02-13,8604699,17186,0.00199728078809032
2022-02-15,8604699,25581,0.00297291049925163
2022-02-22,8604699,25329.31,0.00294366020240801
2022-02-27,8604699,30357.18,0.0035279769809496
2022-03-01,8604699,18839.9,0.00218948971951256
2022-03-06,8604699,22138.45,0.00257283258833342
2022-03-08,8604699,27814.56,0.0032324849480499
2022-03-13,8604699,31662.44,0.00367966851600503
2022-03-15,8604699,34468.54,0.00400578102732007
2022-03-20,8604699,32347.16,0.00375924364117792
2022-03-22,8604699,62756.22,0.00729324988590536
2022-03-27,8604699,31333.56,0.00364144753930382
2022-03-29,8604699,96031.57,0.0111603636571134
2022-04-03,8604699,78584.85,0.00913278314558127
2022-04-05,8604699,103597.57,0.0120396506606448
2022-04-10,8604699,86821.13,0.0100899671214531
2022-04-12,8604699,120096.11,0.0139570378929001
2022-04-17,8604699,159443.26,0.0185297893627656
2022-04-19,8604699,88840.45,0.0103246435465087
2022-04-24,8604699,173494.85,0.0201628029057147
2022-04-26,8604699,194322.79,0.0225833338272495
2022-05-01,8604699,232081.53,0.0269714873233799
2022-05-03,8604699,309783.52,0.0360016683907247
2022-05-08,8604699,200050.67,0.0232490026670311
2022-05-10,8604699,251585.81,0.0292381883433691
2022-05-15,8604699,211403.28,0.0245683527105364
2022-05-17,8604699,272743.19,0.0316970053223245
2022-05-22,8604699,199054,0.0231331740947592
2022-05-24,8604699,222167,0.0258192645669535
2022-05-31,8604699,234300,0.0272293080792251
2022-06-05,8604699,216444,0.0251541628591541
2022-06-07,8604699,224750,0.0261194493845746
2022-06-12,8604699,180331,0.0209572699753937
2022-06-14,8604699,241978,0.02812161122661
2022-06-21,8604699,313071,0.0363837247531843
2022-06-26,8604699,327401,0.0380490938730106
2022-06-28,8604699,232588,0.0270303470231789
2022-07-05,8604699,318790,0.0370483615987032
2022-07-10,8604699,296217,0.034425027534374
2022-07-12,8604699,372904,0.0433372509602021
2022-07-17,8604699,256614,0.0298225423108932
2022-07-19,8604699,280206,0.0325643000411752
2022-07-24,8604699,178913,0.0207924762969629
2022-07-26,8604699,223770,0.0260055581258566
2022-07-31,8604699,252459,0.0293396666170426
2022-08-02,8604699,301234,0.0350080810496683
2022-08-07,8604699,194806,0.0226394903528874
2022-08-09,8604699,210405,0.0244523370311966
2022-08-14,8604699,183362,0.0213095193684288
2022-08-16,8604699,218564,0.0254005398678094
2022-08-21,8604699,230958,0.0268409156438825
2022-08-23,8604699,203734,0.0236770629629229
2022-08-28,8604699,117875,0.0136989103279499
2022-08-30,8604699,189690,0.0220449314961511
2022-09-06,8604699,84244,0.0097904644892285
2022-09-11,8604699,88752,0.0103143642793316
2022-09-13,8604699,83045,0.00965112202065406
2022-09-18,8604699,106009,0.0123198963729004
2022-09-20,8604699,172260,0.0200192941089514
2022-09-25,8604699,151725,0.0176328073765276
2022-09-27,8604699,210722,0.0244891773669247
2022-10-04,8604699,97099,0.0112844156431271
2022-10-11,8604699,212449,0.0246898816565228
2022-10-16,8604699,149202,0.0173395954931137
2022-10-23,8604699,167757,0.0194959753966989
2022-10-25,8604699,219633,0.0255247743122682
2022-10-30,8604699,191242,0.0222252980609781
2022-11-01,8604699,270147,0.0313952876213334
2022-11-08,8604699,396441,0.0460726168341275
2022-11-13,8604699,258440,0.0300347519419331
